,m2,main_currency,loan_ir,house_price,house_charter_price,house_transaction_volumne
2010Q1,1609271.8,72203.4,5.91,,,253414
2010Q2,1645713.7,73710.6,5.26,,,251615
2010Q3,1652908.0,73457.9,5.2,,,214070
2010Q4,1660530.0,74545.7,5.15,,,318130
2011Q1,1675788.6,78375.7,5.32,,,302722
2011Q2,1693131.7,79785.3,5.46,,,313109
2011Q3,1727997.3,76248.0,5.57,,,280311
2011Q4,1751458.4,80055.9,5.51,,,335251
2012Q1,1782765.5,95411.8,5.7,240486.0,128802.0,213522
2012Q2,1803812.4,90822.5,5.48,238249.0,128336.0,251205
2012Q3,1824002.8,94648.3,4.99,235050.0,128041.0,211442
2012Q4,1835641.6,88342.0,4.71,231416.0,128853.0,327837
2013Q1,1868046.5,98028.2,4.67,229875.0,130221.0,207835
2013Q2,1892905.6,101126.1,4.28,230150.0,131636.0,387359
2013Q3,1900172.3,101965.2,4.3,229121.0,133898.0,225490
2013Q4,1920795.0,104262.0,4.17,230364.0,136721.0,366595
2014Q1,1961050.4,104645.6,4.1,232338.0,140110.0,331903
2014Q2,2000102.0,108039.1,4.0,232431.0,140584.0,341165
2014Q3,2036546.5,111871.6,3.82,233258.0,141674.0,353829
2014Q4,2077234.0,116793.7,3.58,234176.0,143186.0,420226
2015Q1,2127954.4,123252.5,3.43,233006.0,144153.0,389372
2015Q2,2191606.1,125813.1,3.15,236171.0,147192.0,477134
2015Q3,2220730.1,131033.9,3.14,244032.0,158956.0,423678
2015Q4,2247375.0,131438.8,3.15,246134.0,161368.0,430611
2016Q1,2296468.4,135399.8,3.24,246098.0,162149.0,326831
2016Q2,2337560.9,137961.5,3.13,246414.0,162988.0,404772
2016Q3,2380204.9,144308.9,2.98,247169.0,164182.0,429838
2016Q4,2407459.1,143435.3,3.19,248452.0,165100.0,462591
2017Q1,2438307.0,152539.2,3.4,249156.0,165666.0,347079
2017Q2,2463832.7,149971.7,3.43,250921.0,166342.0,447516
2017Q3,2510203.7,161818.8,3.42,252787.0,166834.0,527717
2017Q4,2530353.6,155881.0,3.57,278985.0,188568.0,437349
2018Q1,2584208.4,163765.6,3.68,283340.0,188284.0,485588
2018Q2,2632341.1,167048.3,3.72,284224.0,186643.0,409992
2018Q3,2661729.3,177902.4,3.67,287487.0,186210.0,415403
2018Q4,2700362.4,172353.3,3.63,289448.0,185830.0,408248
2019Q1,2763165.2,180425.5,3.54,306155.0,189075.0,337358
2019Q2,2813932.9,183143.5,3.41,304869.0,187607.0,340071
2019Q3,2853964.3,186544.0,3.02,305797.0,187492.0,399450
2019Q4,2913609.6,191829.3,2.98,310734.0,189158.0,492619
2020Q1,2986838.8,194031.8,2.91,324460.0,194649.0,517451
2020Q2,3083081.9,220161.7,2.79,327333.0,195958.0,453198
2020Q3,3132300.8,216881.0,2.59,334399.0,199620.0,509696
2020Q4,3199835.7,221503.7,2.72,341347.0,205624.0,541520
2021Q1,3324920.8,234792.4,2.84,351059.0,210535.0,436612
2021Q2,3418842.8,242801.1,2.91,361192.0,213917.0,455615
2021Q3,3503617.5,251060.1,3.09,419990.0,251816.0,395930
