,m2,main_currency,loan_ir,house_price_index,house_transaction_volumne,base_rate,kospi,kosdaq,house_savings,cpi
2010Q1,1609271.8,72203.4,5.91,78.74687057,253414,2.0,1692.85,515.74,3842540.0,85.523
2010Q2,1645713.7,73710.6,5.26,78.90235562,251615,2.0,1698.29,489.98,3940755.0,86.07
2010Q3,1652908.0,73457.9,5.2,78.74992472,214070,2.25,1872.81,492.75,4045679.0,86.733
2010Q4,1660530.0,74545.7,5.15,79.41057851,318130,2.5,2051.0,510.69,4144716.0,87.165
2011Q1,1675788.6,78375.7,5.32,80.99279204,302722,3.0,2106.7,525.42,4203173.0,88.806
2011Q2,1693131.7,79785.3,5.46,82.42181782,313109,3.25,2100.69,479.55,4277493.0,89.497
2011Q3,1727997.3,76248.0,5.57,83.56592908,280311,3.25,1769.65,449.66,4295968.0,90.476
2011Q4,1751458.4,80055.9,5.51,84.28354018,335251,3.25,1825.74,500.18,4454363.0,90.62
2012Q1,1782765.5,95411.8,5.7,84.51362484,213522,3.25,2014.04,519.56,4533489.0,91.481
2012Q2,1803812.4,90822.5,5.48,84.2042228,251205,3.25,1854.01,489.16,4581504.0,91.671
2012Q3,1824002.8,94648.3,4.99,83.54744264,211442,3.0,1996.21,523.78,4650514.0,91.933
2012Q4,1835641.6,88342.0,4.71,83.07656696,327837,2.75,1984.8,493.66,4707953.0,92.175
2013Q1,1868046.5,98028.2,4.67,82.65606793,207835,2.75,2004.9,555.02,4807973.0,92.906
2013Q2,1892905.6,101126.1,4.28,82.92487659,387359,2.5,1863.32,519.06,4805849.0,92.785
2013Q3,1900172.3,101965.2,4.3,82.79695852,225490,2.5,1996.96,534.89,4914371.0,93.189
2013Q4,1920795.0,104262.0,4.17,83.3300442,366595,2.5,2011.34,499.99,5017019.0,93.16
2014Q1,1961050.4,104645.6,4.1,83.89101222,331903,2.5,1985.61,541.58,5154996.0,93.954
2014Q2,2000102.0,108039.1,4.0,83.97818355,341165,2.5,2002.21,537.06,5241791.0,94.277
2014Q3,2036546.5,111871.6,3.82,84.28660291,353829,2.25,2020.09,573.22,5294111.0,94.476
2014Q4,2077234.0,116793.7,3.58,84.75409785,420226,2.0,1915.59,542.97,5305398.0,94.075
2015Q1,2127954.4,123252.5,3.43,85.30643508,389372,1.75,2041.03,650.49,5431388.0,94.609
2015Q2,2191606.1,125813.1,3.15,86.28370863,477134,1.5,2074.2,742.27,5479163.0,94.808
2015Q3,2220730.1,131033.9,3.14,87.04133985,423678,1.5,1962.81,678.48,5528792.0,95.086
2015Q4,2247375.0,131438.8,3.15,87.72936783,430611,1.5,1961.31,682.35,5591996.0,94.941
2016Q1,2296468.4,135399.8,3.24,87.76437098,326831,1.5,1995.85,688.38,5709748.0,95.422
2016Q2,2337560.9,137961.5,3.13,87.84505568,404772,1.25,1970.35,675.09,5715244.0,95.605
2016Q3,2380204.9,144308.9,2.98,88.01452177,429838,1.25,2043.63,681.21,5700418.0,95.785
2016Q4,2407459.1,143435.3,3.19,88.35302724,462591,1.25,2026.46,631.44,5807260.0,96.319
2017Q1,2438307.0,152539.2,3.4,88.4311038,347079,1.25,2160.23,619.28,5872351.0,97.521
2017Q2,2463832.7,149971.7,3.43,88.83170731,447516,1.25,2391.79,669.04,5901517.0,97.442
2017Q3,2510203.7,161818.8,3.42,89.32290298,527717,1.25,2394.47,652.82,6041327.0,97.91
2017Q4,2530353.6,155881.0,3.57,89.65846408,437349,1.5,2467.49,798.42,6001115.0,97.707
2018Q1,2584208.4,163765.6,3.68,90.07536497,485588,1.5,2445.85,871.09,6143445.0,98.571
2018Q2,2632341.1,167048.3,3.72,90.08294858,409992,1.5,2326.13,818.22,6149363.0,98.896
2018Q3,2661729.3,177902.4,3.67,90.36490511,415403,1.5,2343.07,822.27,6164194.0,99.424
2018Q4,2700362.4,172353.3,3.63,90.64589268,408248,1.75,2041.04,675.65,6184422.0,99.453
2019Q1,2763165.2,180425.5,3.54,90.26223608,337358,1.75,2140.67,729.31,6358996.0,99.105
2019Q2,2813932.9,183143.5,3.41,89.81618864,340071,1.75,2130.62,690.53,6432078.0,99.541
2019Q3,2853964.3,186544.0,3.02,89.70384126,399450,1.5,2063.05,621.76,6514085.0,99.469
2019Q4,2913609.6,191829.3,2.98,90.32279404,492619,1.25,2197.67,669.83,6689535.0,99.747
2020Q1,2986838.8,194031.8,2.91,91.36920152,517451,0.75,1754.64,569.07,6949091.0,100.06
2020Q2,3083081.9,220161.7,2.79,92.11817304,453198,0.5,2108.33,737.97,7160522.0,99.55
2020Q3,3132300.8,216881.0,2.59,93.51507395,509696,0.5,2327.89,848.15,7269353.0,100.19
2020Q4,3199835.7,221503.7,2.72,95.16448164,541520,0.5,2873.47,968.42,7395878.0,100.2
2021Q1,3324920.8,234792.4,2.84,97.4872193,436612,0.5,3061.42,956.17,7510135.0,101.49
2021Q2,3418842.8,242801.1,2.91,100.0,455615,0.5,3296.68,1029.96,7571402.0,102.03
2021Q3,3503617.5,251060.1,3.09,102.7556195,395930,0.75,3068.82,1003.27,7655958.0,102.73
